"https://t.co/8wjDg3YQaj
https://t.co/NPk9pgSFFO

𝐃𝐨𝐧'𝐭 𝐰𝐚𝐬𝐭𝐞 𝐲𝐨𝐮𝐫 𝐜𝐚𝐬𝐡 𝐨𝐧 𝐩𝐫𝐞𝐝𝐢𝐜𝐭𝐢𝐨𝐧𝐬 𝐭𝐡𝐚𝐭 𝐡𝐚𝐬 𝐧𝐨 𝐠𝐮𝐚𝐫𝐚𝐧𝐭𝐞𝐞 𝐨𝐟 𝐰𝐢𝐧𝐧𝐢𝐧𝐠. 

𝐓𝐎𝐃𝐀𝐘'𝐒 𝐅𝐈𝐗𝐄𝐃 𝐌𝐀𝐓𝐂𝐇𝐄𝐒 𝐍𝐎𝐖 𝐀𝐕𝐀𝐈𝐋𝐀𝐁𝐋𝐄!!

𝐌𝐚𝐤𝐞 𝐬𝐩𝐨𝐫𝐭𝐬 https://t.co/h8XJkNWTiG",2023-03-10 22:15:23.406732
text,recorded_at
"@bod_republic Longbet 700 odds

Code https://t.co/RbdVCByzZW

https://t.co/RbdVCByzZW",2023-03-10 22:15:28.414598
text,recorded_at
"RT @AnfieldWatch: Darwin Nunez on facing Bournemouth:

""Of course, we can't afford to relax now just because we beat Manchester United 7-0.…",2023-03-10 22:15:33.422407
text,recorded_at
RT @TrollFootball: Borussia Dortmund correctly predicted the two Chelsea goal scorers that would knock them out of UCL https://t.co/wlHofe0…,2023-03-10 22:15:38.433039
text,recorded_at
"RT @ManUtdMEN: ""Setbacks will happen but as long as we stay focused and stay together we will always see the light at the end of the tunnel…",2023-03-10 22:15:43.438971
text,recorded_at
@ConnCFC Come on bro… if he done something wrong… you can see why he was sacked,2023-03-10 22:15:48.447862
text,recorded_at
"Happy birthday to the best football club in the world! 

Chelsea fans tap in and drop your blue love ✊💙 https://t.co/spcOu5eyKt",2023-03-10 22:15:52.461068
text,recorded_at
RT @mufcMPB: 🚨 Manchester United intend to sell Anthony Martial this summer. #MUFC [@samuelluckhurst],2023-03-10 22:15:57.466784
text,recorded_at
@bod_republic Chelsea fans lets follow each other💙,2023-03-10 22:16:02.475145
text,recorded_at
"RT @DeadlineDayLive: 🚨 Manchester United captain Harry Maguire is a shock £50m summer target for PSG, who already put a deal on the table f…",2023-03-10 22:16:07.482720
text,recorded_at
@utdscope ❤️❤️,2023-03-10 22:16:12.489781
text,recorded_at
"RT @FabrizioRomano: Angel Di Maria on his contract expiring in June: ""We are talking about it with Juventus. I am happy here, I feel the af…",2023-03-10 22:16:17.498045
text,recorded_at
"RT @AnfieldWatch: Darwin Nunez on the result against Manchester United:

""We put in an amazing performance – both in defence and attack. Wh…",2023-03-10 22:16:22.506165
